Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
463;17.04.2016; Frau ; Dr. ; Anne ; Cooper ; 21.9.1931 ; Gremmendorfer Weg 2 ;63839; Kleinwallstadt ; 06022 / 14199035 ; 0160 / 4707041 ; 06022 / 53126470 ; anne.cooper@mail.xyz ; ja
464;08.12.2016; Herr ; Dr. ; Jonathan ; Schmied ; 9.1.1980 ; Am Filk 29 ;47447; Moers ; 02841 / 6861200 ; 0173 / 1271156 ; 02841 / 53804221 ; j.schmied@mail.xyz ; ja
465;21.10.2016; Herr ; Prof. ; Berndt ; Manke ; 1.10.1950 ; Eifelstr. 132 ;97355; Wiesenbronn ; 09325 / 86304801 ; 0153 / 1567272 ; 09325 / 23905328 ; berndt.manke@mail.xyz ; ja
466;30.05.2016; Frau ; Dr. ; Svenja ; Schreiner ; 19.9.1987 ; Erikahof 105 ;54486; Mülheim ; 06534 / 56394682 ; 0171 / 1177199 ; 06534 / 38821831 ; s.schreiner@mail.xyz ; ja
467;06.04.2016; Frau ; Prof. ; Leona ; Petermann ; 18.6.1945 ; Im Sonnentau 73 ;1219; Dresden ; 0351 / 97099745 ; 0154 / 1337081 ; 0351 / 96925744 ; leona.petermann@mail.xyz ; ja
468;04.06.2016; Frau ; Dr. ; Annika ; Gutierrez ; 12.11.1991 ; Mecklenbecker Str. 25 ;54552; Schönbach ; 06592 / 74827323 ; 0173 / 5808417 ; 06592 / 63290175 ; a.gutierrez@mail.xyz ; ja
469;28.11.2016; Herr ; Dr. ; Reinhard ; Cummings ; 19.5.1967 ; Mecklenbecker Str. 33 ;63694; Limeshain ; 06047 / 54857337 ; 0150 / 7173341 ; 06047 / 4421688 ; reinhard.cummings@mail.xyz ; ja
470;20.01.2016; Frau ; Dr. ; Waltraut ; Fleck ; 2.9.1956 ; Rinscheweg 187 ;28237; Bremen ; 0421 / 33357596 ; 0150 / 8422368 ; 0421 / 78973476 ; waltraut.fleck@mail.xyz ; ja
471;24.01.2016; Frau ; Dr. ; Anna ; Reese ; 20.6.1921 ; Ringelnatzstr. 81 ;88605; Meßkirch ; 07575 / 63350780 ; 0178 / 5226801 ; 07575 / 59365911 ; anna.reese@mail.xyz ; ja
472;26.02.2016; Herr ; Dr. ; Luis ; Nolte ; 8.9.1935 ; Breslauer Str. 188 ;86972; Altenstadt ; 08861 / 81890782 ; 0164 / 6708202 ; 08861 / 12085122 ; l.nolte@mail.xyz ; ja
473;04.03.2016; Frau ; Dr. ; Marion ; Rösch ; 16.12.1981 ; Im Draum 145 ;97320; Buchbrunn ; 09321 / 11099611 ; 0175 / 7739902 ; 09321 / 17120743 ; m.roesch@mail.xyz ; ja
474;08.09.2016; Frau ; Dr. ; Annica ; Radermacher ; 8.5.1938 ; Wildpfad 125 ;56414; Bilkheim ; 06435 / 24523602 ; 0159 / 2109118 ; 06435 / 75149285 ; annica.radermacher@mail.xyz ; ja
475;26.04.2016; Herr ; Dr. ; Patrick ; Cordes ; 5.11.1955 ; Ulmenweg 188 ;97845; Neustadt am Main ; 09393 / 8544761 ; 0158 / 8955783 ; 09393 / 65131497 ; p.cordes@mail.xyz ; ja
476;01.09.2016; Frau ; Dr. ; Lili ; Patrick ; 22.10.1984 ; Münsterstr. 32 ;55595; Gutenberg ; 0671 / 50805163 ; 0166 / 9930800 ; 0671 / 80884188 ; l.patrick@mail.xyz ; ja
477;10.02.2016; Frau ; Dr. ; Anouk ; Graham ; 9.8.1957 ; Paul-Engelhard-Weg 126 ;50672; Köln ; 0221 / 28002401 ; 0169 / 7337031 ; 0221 / 91977635 ; a.graham@mail.xyz ; ja
478;12.11.2016; Frau ; Dr. ; Sonja ; Wachsmuth ; 8.8.1923 ; Hacklenburg 173 ;24250; Löptin ; 0430 / 36992755 ; 0172 / 7846606 ; 0430 / 60278898 ; s.wachsmuth@mail.xyz ; ja
479;09.02.2016; Frau ; Dr. ; Jessika ; Freeman ; 19.7.1989 ; Cheruskerstr. 121 ;56414; Meudt ; 06435 / 7189381 ; 0166 / 4226719 ; 06435 / 39379631 ; j.freeman@mail.xyz ; ja
480;21.02.2016; Herr ; Dr. ; Klaus ; Wassermann ; 6.6.1922 ; Erpeler Str. 70 ;37520; Osterode am Harz ; 05522 / 32368395 ; 0162 / 7216386 ; 05522 / 40609559 ; klaus.wassermann@mail.xyz ; ja
481;29.09.2016; Frau ; Dr. ; Carla ; Alberts ; 5.1.1970 ; Florentine-Eichler-Str. 44 ;76831; Heuchelheim-Klingen ; 06341 / 86957098 ; 0166 / 1394192 ; 06341 / 38031390 ; carla.alberts@mail.xyz ; ja
482;20.02.2016; Herr ; Dr. ; Tobias ; Hagen ; 13.10.1973 ; Heisstr. 134 ;56767; Lirstal ; 02692 / 27263446 ; 0168 / 7979384 ; 02692 / 86358460 ; tobias.hagen@mail.xyz ; ja
483;08.04.2016; Herr ; Dr. ; Simon ; Scholl ; 9.9.1975 ; Starweg 157 ;56357; Hainau ; 06772 / 14018886 ; 0167 / 3337042 ; 06772 / 23363985 ; simon.scholl@mail.xyz ; ja
484;02.05.2016; Frau ; Dr. ; Louisa ; Riedel ; 25.2.1932 ; Am Getterbach 130 ;54316; Holzerath ; 0651 / 26437930 ; 0156 / 7287563 ; 0651 / 35482010 ; l.riedel@mail.xyz ; ja
485;21.10.2016; Frau ; Dr. ; Ruth ; Herold ; 2.10.1965 ; Marktstr. 172 ;56379; Winden ; 02604 / 68126692 ; 0168 / 8416997 ; 02604 / 45898264 ; ruth.herold@mail.xyz ; ja
486;14.03.2016; Herr ; Dr. ; Falk ; Schmidt ; 26.1.1929 ; Dodostr. 122 ;67752; Oberweiler-Tiefenbach ; 06304 / 2065683 ; 0175 / 7078693 ; 06304 / 61337113 ; f.schmidt@mail.xyz ; ja
487;28.04.2016; Frau ; Dr. ; Monika ; Abel ; 17.9.1960 ; Kurze Str. 106 ;75339; Höfen an der Enz ; 07081 / 67707349 ; 0151 / 1790882 ; 07081 / 3969411 ; monika.abel@mail.xyz ; ja
488;25.09.2016; Frau ; Dr. ; Malin ; Adam ; 11.6.1934 ; Sporckweg 30 ;67821; Alsenz ; 06362 / 40316282 ; 0164 / 7436076 ; 06362 / 64390988 ; malin.adam@mail.xyz ; ja
489;07.11.2016; Frau ; Dr. ; Sofie ; Steinert ; 26.12.1986 ; Zülpicher Str. 56 ;38533; Vordorf ; 05304 / 35170710 ; 0156 / 5989032 ; 05304 / 64596438 ; s.steinert@mail.xyz ; ja
490;20.10.2016; Herr ; Dr. ; Fabian ; Lechner ; 27.5.1989 ; Simon-Meister-Str. 13 ;92697; Georgenberg ; 09658 / 81787168 ; 0179 / 8438884 ; 09658 / 25197748 ; fabian.lechner@mail.xyz ; ja
491;06.05.2016; Herr ; Dr. ; Klemens ; Buck ; 9.5.1994 ; Kapellenstr. 157 ;26689; Apen ; 04489 / 52221822 ; 0153 / 4347850 ; 04489 / 96067794 ; k.buck@mail.xyz ; ja
492;15.05.2016; Frau ; Dr. ; Helga ; Bachmeier ; 14.4.1940 ; Weißenburgstr. 26 ;56479; Neustadt ; 02664 / 52772608 ; 0158 / 1702703 ; 02664 / 10657642 ; helga.bachmeier@mail.xyz ; ja
493;22.11.2016; Frau ; Dr. ; Marie ; Romero ; 16.1.1948 ; Schmittingheide 138 ;49843; Wielen ; 05942 / 65097866 ; 0171 / 3179720 ; 05942 / 56265244 ; m.romero@mail.xyz ; ja
494;25.08.2016; Herr ; Dr. ; Kilian ; Starke ; 24.4.1934 ; Holunderweg 102 ;65558; Eppenrod ; 06432 / 79885914 ; 0179 / 2053174 ; 06432 / 72690775 ; kilian.starke@mail.xyz ; ja
495;28.10.2016; Frau ; Dr. ; Josefine ; Menzel ; 1.2.1966 ; Rinkerodeweg 194 ;29413; Flecken Diesdorf ; 03902 / 94895801 ; 0157 / 2533942 ; 03902 / 97054492 ; j.menzel@mail.xyz ; ja
496;25.06.2016; Frau ; Dr. ; Lya ; Ballard ; 7.11.1980 ; Gartenstr. 13 ;34302; Guxhagen ; 05665 / 84013960 ; 0173 / 1442914 ; 05665 / 79958453 ; lya.ballard@mail.xyz ; ja
497;23.07.2016; Frau ; Dr. ; Marlies ; Reisinger ; 21.7.1943 ; Raesfeldstr. 154 ;25899; Galmsbüll ; 04661 / 16478973 ; 0170 / 1255751 ; 04661 / 10482979 ; m.reisinger@mail.xyz ; ja
498;31.08.2016; Frau ; Dr. ; Stefanie ; Debus ; 23.9.1967 ; Mecklenbecker Str. 17 ;56766; Horperath ; 02692 / 9725892 ; 0164 / 7607610 ; 02692 / 86992332 ; stefanie.debus@mail.xyz ; ja
499;06.03.2016; Frau ; Dr. ; Marta ; Kehr ; 2.9.1995 ; Stettiner Str. 40 ;58762; Altena ; 02352 / 5779034 ; 0173 / 4802642 ; 02352 / 77385977 ; m.kehr@mail.xyz ; ja
500;20.12.2016; Frau ; Dr. ; Layla ; Remondis ; 10.9.1962 ; Mersmannsstiege 192 ;54424; Lückenburg ; 06504 / 49490117 ; 0172 / 2462414 ; 06504 / 33219982 ; l.remondis@mail.xyz ; ja
501;08.05.2016; Herr ; Prof. ; Alexander ; Fischer ; 8.1.1987 ; Langestr. 56 ;94345; Aholfing ; 09429 / 78176316 ; 0150 / 2384525 ; 09429 / 1629650 ; a.fischer@mail.xyz ; ja
502;08.05.2016; Frau ; Dr. ; Margarethe ; Owen ; 2.5.1954 ; Christinastr. 139 ;22851; Norderstedt ; 040 / 64252353 ; 0178 / 7129954 ; 040 / 12156289 ; margarethe.owen@mail.xyz ; ja
503;19.10.2016; Herr ; Dr. ; Hannes ; Pauly ; 2.8.1971 ; Goebenstr. 124 ;57612; Heupelzen ; 02681 / 25141456 ; 0172 / 6244049 ; 02681 / 38303020 ; h.pauly@mail.xyz ; ja
504;21.06.2016; Frau ; Prof. ; Andrea ; Matthews ; 9.11.1961 ; Hindenburgplatz 23 ;23626; Ratekau ; 04504 / 15796158 ; 0169 / 8948288 ; 04504 / 61302660 ; andrea.matthews@mail.xyz ; ja
505;25.02.2016; Frau ; Dr. ; Kimberly ; Seeger ; 9.1.1976 ; Gottesweg 116 ;74376; Gemmrigheim ; 07143 / 47139934 ; 0162 / 4574289 ; 07143 / 30707862 ; kimberly.seeger@mail.xyz ; ja
506;26.02.2016; Frau ; Dr. ; Mila ; Brigitte ; 11.11.1937 ; Telgenweg 19 ;24395; Niesgrau ; 04632 / 36971589 ; 0154 / 3388536 ; 04632 / 72946520 ; mila.brigitte@mail.xyz ; ja
507;28.03.2016; Herr ; Dr. ; Tomas ; Geiger ; 28.11.1956 ; Stolbergstr. 147 ;26487; Blomberg ; 04977 / 36229632 ; 0169 / 8130341 ; 04977 / 48144278 ; tomas.geiger@mail.xyz ; ja
508;12.02.2016; Herr ; Dr. ; Jörg ; Howard ; 8.10.1946 ; Tondernstr. 111 ;38440; Wolfsburg ; 05361 / 31856509 ; 0150 / 7483159 ; 05361 / 40347046 ; j.howard@mail.xyz ; ja
509;18.12.2016; Herr ; Dr. ; Henrik ; Rauch ; 18.9.1927 ; Innsbruckweg 158 ;24214; Lindau ; 04346 / 96473183 ; 0164 / 8407619 ; 04346 / 9930040 ; h.rauch@mail.xyz ; ja
510;13.04.2016; Herr ; Dr. ; Florian ; Häusler ; 19.5.1988 ; Am Krausen Baum 95 ;85716; Unterschleißheim ; 089 / 81048831 ; 0175 / 7055001 ; 089 / 15257085 ; f.haeusler@mail.xyz ; ja
511;03.12.2016; Frau ; Dr. ; Lorena ; Demuth ; 13.7.1952 ; Westenkamp 28 ;24211; Preetz ; 04342 / 8028159 ; 0159 / 6775973 ; 04342 / 27476383 ; l.demuth@mail.xyz ; ja
512;13.01.2016; Herr ; Dr. ; Kristof ; Rademacher ; 1.7.1958 ; Stettiner Str. 42 ;78144; Tennenbronn ; 07729 / 10811595 ; 0152 / 4912543 ; 07729 / 6383526 ; kristof.rademacher@mail.xyz ; ja
513;10.07.2016; Frau ; Dr. ; Nicole ; Küppers ; 23.9.1957 ; Speestr. - 92 ;24351; Thumby ; 04352 / 68894577 ; 0161 / 3137381 ; 04352 / 3303425 ; n.kueppers@mail.xyz ; ja
514;17.05.2016; Frau ; Dr. ; Sarah ; Hackenberg ; 20.4.1929 ; Ostmarkstr. 10 ;45479; Mülheim an der Ruhr ; 0208 / 56999274 ; 0153 / 2188389 ; 0208 / 35974260 ; sarah.hackenberg@mail.xyz ; ja
515;09.04.2016; Herr ; Dr. ; Gabriel ; Baumgart ; 21.2.1957 ; Berrischstr. 184 ;66292; Riegelsberg ; 06806 / 51701310 ; 0162 / 8749236 ; 06806 / 45173602 ; gabriel.baumgart@mail.xyz ; ja
516;19.12.2016; Frau ; Dr. ; Joelina ; Marschner ; 12.8.1923 ; Josef-Suwelack-Weg 190 ;47799; Krefeld ; 02151 / 25892843 ; 0170 / 2695206 ; 02151 / 66307492 ; joelina.marschner@mail.xyz ; ja
517;27.05.2016; Frau ; Dr. ; Ronja ; Lammert ; 11.7.1976 ; Paul-Engelhard-Weg 196 ;56379; Dienethal ; 02604 / 22069687 ; 0171 / 1142532 ; 02604 / 70397216 ; r.lammert@mail.xyz ; ja
518;25.02.2016; Herr ; Dr. ; Luca ; Heilmann ; 20.12.1993 ; Bünkamp 70 ;76770; Hatzenbühl ; 07275 / 83347998 ; 0154 / 9078942 ; 07275 / 15735426 ; luca.heilmann@mail.xyz ; ja
519;29.06.2016; Frau ; Dr. ; Silke ; Höfer ; 27.11.1994 ; Methweg 129 ;31603; Diepenau ; 05775 / 25203999 ; 0169 / 8966335 ; 05775 / 83329487 ; silke.hoefer@mail.xyz ; ja
520;25.01.2016; Frau ; Dr. ; Pia ; Weck ; 19.11.1921 ; Am Blütenhain 78 ;38300; Wolfenbüttel ; 05331 / 69920201 ; 0168 / 7474075 ; 05331 / 41112193 ; p.weck@mail.xyz ; ja
521;12.06.2016; Herr ; Dr. ; Detlev ; Wilken ; 8.1.1987 ; Hofstr. 159 ;54316; Pluwig ; 06588 / 94747981 ; 0170 / 7359019 ; 06588 / 75148728 ; detlev.wilken@mail.xyz ; ja
522;02.02.2016; Frau ; Dr. ; Jessica ; Küster ; 14.2.1965 ; Kurze Str. 51 ;78087; Mönchweiler ; 07721 / 35106182 ; 0152 / 9865561 ; 07721 / 28131142 ; jessica.kuester@mail.xyz ; ja
523;27.09.2016; Frau ; Dr. ; Marlis ; Kleine ; 14.11.1940 ; Neusser Str. 18 ;64839; Münster ; 06071 / 81171386 ; 0151 / 7845653 ; 06071 / 50784083 ; marlis.kleine@mail.xyz ; ja
524;29.05.2016; Herr ; Dr. ; Bennett ; Henderson ; 21.6.1938 ; Skagerrakstr. 191 ;25587; Münsterdorf ; 04821 / 98035863 ; 0168 / 9039993 ; 04821 / 28917229 ; bennett.henderson@mail.xyz ; ja
525;11.04.2016; Herr ; Dr. ; Leonard ; Howard ; 3.7.1989 ; Cheruskerstr. 122 ;59227; Ahlen ; 02382 / 63241667 ; 0151 / 8562744 ; 02382 / 66120641 ; l.howard@mail.xyz ; ja
526;04.11.2016; Herr ; Dr. ; Frank ; Kluge ; 16.7.1985 ; Handorfer Str. 65 ;27798; Hude ; 0421 / 79456457 ; 0167 / 3419991 ; 0421 / 53018436 ; frank.kluge@mail.xyz ; ja
527;14.09.2016; Herr ; Dr. ; Michel ; Eggers ; 26.12.1992 ; Hindenburgplatz 197 ;91740; Röckingen ; 09832 / 64680210 ; 0171 / 2057992 ; 09832 / 72696520 ; m.eggers@mail.xyz ; ja
528;30.11.2016; Frau ; Dr. ; Waldtraut ; Bittner ; 7.4.1968 ; An Lyskirchen 166 ;41462; Neuss ; 02131 / 41051445 ; 0161 / 4736401 ; 02131 / 61528778 ; waldtraut.bittner@mail.xyz ; ja
529;22.11.2016; Frau ; Dr. ; Britta ; Katrin ; 21.7.1981 ; Dachsleite 157 ;97268; Kirchheim ; 09366 / 30349366 ; 0165 / 7951483 ; 09366 / 62104208 ; britta.katrin@mail.xyz ; ja
530;09.09.2016; Frau ; Dr. ; Britta ; Rühl ; 9.4.1952 ; Schmittingheide 101 ;38329; Wittmar ; 05337 / 3186958 ; 0165 / 6348704 ; 05337 / 21016223 ; britta.ruehl@mail.xyz ; ja
531;11.01.2016; Herr ; Dr. ; Heinz ; Ford ; 3.5.1939 ; Gescherweg 85 ;57584; Scheuerfeld ; 02741 / 7543863 ; 0151 / 7220357 ; 02741 / 41352825 ; heinz.ford@mail.xyz ; ja
532;09.06.2016; Frau ; Dr. ; Luise ; Neuberger ; 22.7.1924 ; Rückertstr. 159 ;55270; Engelstadt ; 06725 / 43031737 ; 0163 / 6505541 ; 06725 / 64123380 ; luise.neuberger@mail.xyz ; ja
533;29.04.2016; Frau ; Dr. ; Larissa ; Hinrichsen ; 21.6.1997 ; Dahlweg 11 ;48465; Suddendorf ; 05923 / 8942937 ; 0161 / 4046272 ; 05923 / 86657769 ; l.hinrichsen@mail.xyz ; ja
534;27.11.2016; Herr ; Dr. ; Hannes ; Sonne ; 9.4.1957 ; Stettiner Str. 20 ;67823; Sitters ; 06362 / 97856910 ; 0152 / 2763135 ; 06362 / 29409036 ; h.sonne@mail.xyz ; ja
535;30.10.2016; Herr ; Dr. ; Manfred ; Schardt ; 18.6.1938 ; Rückertstr. 116 ;92690; Pressath ; 09644 / 45227738 ; 0162 / 9133072 ; 09644 / 1058289 ; manfred.schardt@mail.xyz ; ja
536;22.07.2016; Frau ; Dr. ; Liv ; Hilbert ; 19.4.1959 ; Kirchstr. 70 ;95131; Schwarzenbach am Wald ; 09289 / 50118640 ; 0178 / 8611547 ; 09289 / 45911085 ; l.hilbert@mail.xyz ; ja
537;30.10.2016; Frau ; Prof. ; Mila ; Brack ; 10.5.1956 ; Holunderweg 172 ;24896; Treia ; 04626 / 78785313 ; 0171 / 4400872 ; 04626 / 58430839 ; m.brack@mail.xyz ; ja
538;22.06.2016; Frau ; Dr. ; Elisa ; Nachtigall ; 12.6.1966 ; Gottesweg 174 ;56237; Oberhaid ; 02623 / 52892966 ; 0160 / 5191962 ; 02623 / 37899592 ; e.nachtigall@mail.xyz ; ja
539;27.12.2016; Herr ; Dr. ; Patrick ; Parker ; 14.10.1983 ; Ringelnatzstr. 45 ;96110; Scheßlitz ; 09542 / 15757136 ; 0157 / 5975741 ; 09542 / 56459739 ; p.parker@mail.xyz ; ja
540;14.08.2016; Herr ; Dr. ; Fritz ; Pauly ; 3.6.1925 ; Handorfer Str. 95 ;24214; Neudorf-Bornstein ; 04346 / 52803853 ; 0168 / 2253278 ; 04346 / 4004092 ; f.pauly@mail.xyz ; ja
541;14.02.2016; Frau ; Dr. ; Gudrun ; Manke ; 20.12.1924 ; Norbertstr. 109 ;92353; Postbauer-Heng ; 09188 / 64370499 ; 0154 / 1090650 ; 09188 / 3762846 ; g.manke@mail.xyz ; ja
542;05.07.2016; Herr ; Dr. ; Werner ; Marschner ; 7.9.1980 ; Eulenbergstr. 98 ;23952; Wismar ; 03841 / 42062070 ; 0173 / 5967706 ; 03841 / 60864069 ; werner.marschner@mail.xyz ; ja
543;24.07.2016; Herr ; Dr. ; Henri ; Orth ; 7.12.1939 ; Rosenplatz 114 ;34134; Kassel ; 0561 / 83767405 ; 0150 / 6887387 ; 0561 / 36123760 ; h.orth@mail.xyz ; ja
544;03.02.2016; Herr ; Dr. ; Mathis ; Sharp ; 9.12.1944 ; Am Oedingteich 134 ;24247; Rodenbek ; 0431 / 95614573 ; 0179 / 6459779 ; 0431 / 99821555 ; mathis.sharp@mail.xyz ; ja
545;17.06.2016; Herr ; Prof. ; Timo ; Steinberg ; 5.9.1945 ; Kösliner Str. 171 ;60549; Frankfurt am Main ; 069 / 35202717 ; 0166 / 8932581 ; 069 / 6443388 ; t.steinberg@mail.xyz ; ja
546;10.10.2016; Frau ; Dr. ; Jette ; Böhm ; 20.4.1946 ; Meinertzstr. 172 ;7745; Jena ; 03641 / 39684886 ; 0154 / 4266314 ; 03641 / 69084622 ; jette.boehm@mail.xyz ; ja
547;23.07.2016; Frau ; Dr. ; Jette ; Mair ; 11.9.1977 ; Marderweg 74 ;89186; Illerrieden ; 07346 / 60118293 ; 0150 / 2281690 ; 07346 / 38176871 ; j.mair@mail.xyz ; ja
548;05.11.2016; Herr ; Dr. ; Yannick ; Wassermann ; 24.1.1960 ; Hogenbergstr. 48 ;55430; Perscheid ; 06744 / 87412637 ; 0151 / 7034147 ; 06744 / 26015086 ; yannick.wassermann@mail.xyz ; ja
549;01.05.2016; Herr ; Dr. ; Janis ; Kriegel ; 28.8.1947 ; Westenkamp 57 ;23816; Neversdorf ; 04552 / 79568840 ; 0176 / 9243705 ; 04552 / 604589 ; j.kriegel@mail.xyz ; ja
550;10.10.2016; Frau ; Dr. ; Anabel ; Eberl ; 20.5.1956 ; Friedrichstr. 83 ;71083; Herrenberg ; 07032 / 80906357 ; 0151 / 2045455 ; 07032 / 81557512 ; a.eberl@mail.xyz ; ja
551;10.07.2016; Herr ; Dr. ; Paul ; Carr ; 27.8.1979 ; Schwalbenweg 160 ;54608; Großlangenfeld ; 06551 / 35551512 ; 0152 / 4764638 ; 06551 / 33174515 ; paul.carr@mail.xyz ; ja
552;18.09.2016; Frau ; Dr. ; Ivonne ; Marquard ; 11.1.1980 ; Memmertweg 113 ;34130; Kassel ; 0561 / 18700720 ; 0178 / 5763485 ; 0561 / 95530731 ; i.marquard@mail.xyz ; ja
553;23.09.2016; Frau ; Dr. ; Rosa ; Tag ; 2.9.1988 ; Idenbrockplatz 75 ;24857; Borgwedel ; 04621 / 51004789 ; 0156 / 4595440 ; 04621 / 96501527 ; r.tag@mail.xyz ; ja
554;11.10.2016; Herr ; Dr. ; Leon ; Bormann ; 25.8.1944 ; Zum Burgschemm 135 ;47665; Sonsbeck ; 02838 / 65639769 ; 0163 / 7261249 ; 02838 / 66617459 ; leon.bormann@mail.xyz ; ja
555;11.03.2016; Herr ; Dr. ; Jens ; Grau ; 3.5.1925 ; Memmertweg 16 ;63839; Kleinwallstadt ; 06022 / 39660516 ; 0177 / 9722198 ; 06022 / 66378298 ; j.grau@mail.xyz ; ja
556;23.09.2016; Herr ; Dr. ; Florian ; Bertram ; 1.4.1931 ; Erpeler Str. 58 ;83101; Rohrdorf ; 08032 / 81121467 ; 0168 / 8012606 ; 08032 / 18708843 ; florian.bertram@mail.xyz ; ja
557;06.01.2016; Herr ; Dr. ; Horst ; Apel ; 7.10.1979 ; Kirchstr. 188 ;31714; Lauenhagen ; 05721 / 68491234 ; 0177 / 2567237 ; 05721 / 31126661 ; horst.apel@mail.xyz ; ja
558;19.09.2016; Frau ; Prof. ; Isabell ; Weber ; 6.4.1965 ; Röttgensweg 71 ;50677; Köln ; 0221 / 59612224 ; 0161 / 6358310 ; 0221 / 60181337 ; i.weber@mail.xyz ; ja
559;22.08.2016; Herr ; Dr. ; Lennart ; Neumann ; 13.12.1936 ; Arnheimweg 67 ;80807; München ; 089 / 88013388 ; 0174 / 8989339 ; 089 / 47885260 ; l.neumann@mail.xyz ; ja
560;29.01.2016; Herr ; Dr. ; Kristian ; Seibold ; 6.1.1940 ; Stolbergstr. 29 ;29229; Celle ; 05141 / 63311367 ; 0169 / 1249220 ; 05141 / 6069504 ; k.seibold@mail.xyz ; ja
561;28.09.2016; Herr ; Dr. ; Magnus ; Velten ; 11.5.1923 ; Langeworth 145a ;89129; Setzingen ; 07345 / 15869017 ; 0178 / 5849357 ; 07345 / 33113889 ; m.velten@mail.xyz ; ja
562;03.10.2016; Frau ; Prof. ; Laura ; Friedel ; 5.3.1989 ; Meckmannweg 178 ;27624; Flögeln ; 04745 / 97330986 ; 0150 / 8974674 ; 04745 / 95179256 ; l.friedel@mail.xyz ; ja
563;07.03.2016; Frau ; Dr. ; Friederike ; Wedekind ; 27.8.1955 ; Nauheimer Str. 12 ;38122; Braunschweig ; 0531 / 83683426 ; 0156 / 4563063 ; 0531 / 37867849 ; friederike.wedekind@mail.xyz ; ja
564;16.02.2016; Herr ; Dr. ; Finn ; Garcia ; 20.12.1924 ; Rennbahnstr. 129 ;89195; Staig ; 07346 / 42047038 ; 0165 / 2855366 ; 07346 / 49795830 ; finn.garcia@mail.xyz ; ja
565;19.03.2016; Herr ; Dr. ; Ben ; Katrin ; 8.2.1992 ; Wollinstr. 115 ;32339; Espelkamp ; 05772 / 2164519 ; 0170 / 3535151 ; 05772 / 58847858 ; b.katrin@mail.xyz ; ja
566;02.11.2016; Herr ; Dr. ; Horst ; Gaiser ; 10.2.1995 ; Hüfferstr. 169 ;25881; Tating ; 04862 / 12469311 ; 0168 / 5230047 ; 04862 / 54187863 ; h.gaiser@mail.xyz ; ja
567;31.12.2016; Frau ; Dr. ; Sara ; Scholl ; 7.11.1935 ; Bielefelder Str. 26 ;54317; Osburg ; 0651 / 72945389 ; 0150 / 9595792 ; 0651 / 97139989 ; s.scholl@mail.xyz ; ja
568;22.01.2016; Frau ; Dr. ; Kirsten ; Siems ; 12.6.1953 ; Heinrichstr. 102 ;91080; Uttenreuth ; 09131 / 25082924 ; 0160 / 9983367 ; 09131 / 80879692 ; kirsten.siems@mail.xyz ; ja
569;05.04.2016; Herr ; Dr. ; Pascal ; Larson ; 9.6.1967 ; An Lyskirchen 1 ;54533; Oberscheidweiler ; 06572 / 53045817 ; 0166 / 6609412 ; 06572 / 22842812 ; p.larson@mail.xyz ; ja
570;24.06.2016; Herr ; Dr. ; Kai ; Taubert ; 24.11.1930 ; Buldernweg 88 ;56379; Geilnau ; 06432 / 82616491 ; 0179 / 9272798 ; 06432 / 59812008 ; k.taubert@mail.xyz ; ja
571;29.04.2016; Herr ; Dr. ; Fynn ; Reiter ; 27.7.1925 ; Kempener Str. 99 ;25715; Averlak ; 04855 / 25212371 ; 0152 / 9651208 ; 04855 / 39190817 ; fynn.reiter@mail.xyz ; ja
572;09.07.2016; Herr ; Dr. ; Markus ; Salzmann ; 7.6.1957 ; Möserweg 72 ;89290; Buch ; 07343 / 886573 ; 0171 / 5093253 ; 07343 / 56000117 ; m.salzmann@mail.xyz ; ja
573;06.09.2016; Frau ; Dr. ; Felicitas ; Carpenter ; 1.11.1960 ; Gescherweg 149 ;67829; Schmittweiler ; 06753 / 61294463 ; 0168 / 8164137 ; 06753 / 82781255 ; f.carpenter@mail.xyz ; ja
574;30.05.2016; Frau ; Dr. ; Barbara ; Philipp ; 16.10.1980 ; Am Filk 17 ;99817; Eisenach ; 03691 / 67838387 ; 0174 / 6261732 ; 03691 / 50634379 ; barbara.philipp@mail.xyz ; ja
575;17.11.2016; Frau ; Dr. ; Christin ; Octomedia ; 2.4.1985 ; Dammstr. 91 ;30159; Hannover ; 0511 / 86809593 ; 0165 / 8238796 ; 0511 / 9265307 ; c.octomedia@mail.xyz ; ja
576;08.05.2016; Herr ; Dr. ; Karsten ; Schütze ; 18.7.1954 ; Liboristr. 36 ;52445; Titz ; 02463 / 79334181 ; 0176 / 7661297 ; 02463 / 48673144 ; k.schuetze@mail.xyz ; ja
577;08.06.2016; Frau ; Dr. ; Ilse ; Glocke ; 3.5.1997 ; Flaßkuhl 115 ;56355; Bettendorf ; 06772 / 90284958 ; 0171 / 3180149 ; 06772 / 45621935 ; ilse.glocke@mail.xyz ; ja
578;06.08.2016; Frau ; Dr. ; Ella ; Horn ; 22.4.1974 ; Friesenring 21 ;67822; Schiersfeld ; 06362 / 96155647 ; 0157 / 5372142 ; 06362 / 2726949 ; ella.horn@mail.xyz ; ja
